업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시(입찰마감일시),공동수급,투찰
공사,20190348691-00,일반,성성지구~번영로(대로1-13호) 도시계획 도로개설 전기공사,충청남도 천안시,충청남도 천안시,지역제한,2019/03/29 09:31(2019/04/09 14:00),,마감
공사,20190347198-00,일반,중로 1-37호선 교통체계 개선사업(전기),경상남도 김해시,경상남도 김해시,수의(소액)-견적입찰(2인 이상 견적 제출),2019/03/29 09:12(2019/04/04 15:00),,마감
물품,A101902001-00,일반,OP-A Motor 전기적 검사 및 진동교정,한전케이피에스주식회사,발전전력사업본부 서인천사업처,수의(총액),2019/03/29 09:02(2019/04/01 17:02),,한전케이피에스주식회사 이동
공사,2019LHN00052019-03362-01,일반,전체지원비(힐링캠프 시설보수 공사(전기)),육군 제2621부대,제2621부대,수의계약(기타),2019/03/29 09:00(2019/04/04 10:00),,육군 제2621부대 이동
물품,2019MDD007709850-01,긴급,19년 병원장비소모품 6 (전기생리학검사장비) 구매,국군수도병원,국군수도병원,제한(총액),2019/03/29 09:00(2019/04/03 10:30),,국군수도병원 이동
물품,2019LNF000609822-01,일반,00부대세면장전기온수기교체등3건설치납품,제1보병사단,제1570부대,수의(총액),2019/03/29 09:00(2019/04/04 10:00),,제1보병사단 이동
용역,E011902424-00,일반,서울 동남권지역 전기공급시설 전력구공사(동서울#2-강남) 지반조사용역,한국전력공사,재무자재부,제한(총액),2019/03/29 08:51(2019/04/08 10:00),,한국전력공사 이동
물품,G051900325-00,일반,제2발전소 3~6호기 발전기 Carbon Brush제작구매,한국중부발전주식회사,사업소 보령발전본부,제한(총액),2019/03/29 00:00(2019/04/08 12:00),,한국중부발전주식회사 이동
물품,G061900351-00,일반,제1~4호기 승강기 자동구출운전장치 설치조건부 구매_1발전기부,한국남동발전(주),사업소 삼천포발전본부,제한(총액),2019/03/29 00:00(2019/04/08 10:00),,한국남동발전(주) 이동
물품,K190239010-01,일반,[재공고] 고리 2발 전기팀 케이블 1품목(A등급),한국수력원자력주식회사,한국수력원자력(주) 관리본부,일반(총액),2019/03/29 00:00(2019/04/04 11:30),,한국수력원자력주식회사 이동
물품,G011901963-00,일반,OLTC 보호계전기(96T) 12EA,한국전력공사,인천본부,제한(총액),2019/03/29 00:00(2019/04/04 12:00),,한국전력공사 이동
물품,G041900182-00,일반,2019년 발전기 냉각용 수소외 2종구매,한국남부발전주식회사,신인천발전본부,제한(총액),2019/03/29 00:00(2019/04/09 14:00),,한국남부발전주식회사 이동
물품,G061900352-00,일반,#6 충전기 및 제어전원공급설비 정비자재 구매_2발전기부,한국남동발전(주),사업소 삼천포발전본부,제한(총액),2019/03/29 00:00(2019/04/08 10:00),,한국남동발전(주) 이동
물품,G061900353-00,일반,#6 계획예방정비공사 회로설비 정비자재 구매_2발전기부,한국남동발전(주),사업소 삼천포발전본부,제한(총액),2019/03/29 00:00(2019/04/05 10:10),,한국남동발전(주) 이동
공사,20190348893-00,일반,황수탕마을 창조적마을만들기사업 전기공사,경상북도 영천시,경상북도 영천시,수의(소액)-견적입찰(2인 이상 견적 제출),2019/03/28 22:45(2019/04/03 14:00),,마감
공사,20190348730-00,일반,봉산초 외 2교 냉난방기 교체 전기공사 소액수의 견적서 제출 안내 공고,전라남도교육청 전라남도담양교육지원청,전라남도교육청 전라남도담양교육지원청,수의(소액),2019/03/28 21:10(2019/04/03 10:00),,마감
공사,20190348734-00,일반,2019년 공원 전기시설물 유지관리사업(단가),경기도 광주시,경기도 광주시,수의(소액)(단가),2019/03/28 20:53(2019/04/03 10:00),,마감
공사,20190348601-00,일반,달성군종합사회복지관 증축 전기공사,대구광역시 달성군,대구광역시 달성군,지역제한,2019/03/28 19:49(2019/04/03 15:00),,마감
공사,20190348522-01,변경,도심 노후옹벽 디자인 개선사업(전기),강원도 춘천시,강원도 춘천시,수의(소액),2019/03/28 18:57(2019/04/03 10:00),,마감
물품,20190348363-00,일반,구룡마을 하수도설치 전기공사 관급자재-원격감시제어설비 제작설치,경상남도 사천시,경상남도 사천시,수의(총액)소액수의,2019/03/28 18:54(2019/04/03 10:00),,마감
공사,20190345998-02,변경,남원축협 거점소독 및 세척시설 신축공사(전기),남원축산업협동조합,남원축산업협동조합,수의계약(기타),2019/03/28 18:31(2019/04/03 15:00),,마감
공사,20190348475-00,일반,2019년 고품질쌀 유통활성화 벼건조저장시설 지원사업(전기),농업회사법인 합천유통 주식회사,농업회사법인 합천유통 주식회사,지역제한,2019/03/28 18:12(2019/04/03 10:00),,마감
민간,20190348399-00,긴급,전기 선로 변경 공사,경동오피스텔관리단,경동오피스텔관리단,일반경쟁,2019/03/28 17:58(-),,
공사,20190348419-00,일반,2019년 상수도관 전기방식공사,서울특별시,서울특별시,지역제한,2019/03/28 17:55(2019/04/05 16:00),,마감
용역,20190347929-00,일반,유촌초 등 2교(진제초) 냉난방시설개선 전기공사 설계용역 수의계약 안내공고,광주광역시교육청 광주광역시서부교육지원청,광주광역시교육청 광주광역시서부교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/03/28 17:37(2019/04/03 10:00),,마감
물품,20190348339-00,긴급,공용 전기자동차 구입,제주특별자치도,제주특별자치도,일반(총액),2019/03/28 17:33(2019/04/04 14:00),,마감
물품,20190348322-00,일반,우치공원 전기열차 제작 구매,광주광역시,광주광역시,제한(총액),2019/03/28 17:27(2019/04/05 12:00),,마감
공사,20190346652-01,변경,인제읍 상동리 인제중학교~인제고등학교 군계획도로(소로3-31, 3-35)개설공사(전기),강원도 인제군,강원도 인제군,수의(소액)-견적입찰(2인 이상 견적 제출),2019/03/28 17:25(2019/04/03 10:00),,마감
공사,20190348275-00,일반,태백시청 대회의실 환경정비공사(전기),강원도 태백시,강원도 태백시,수의(소액)-견적입찰(2인 이상 견적 제출),2019/03/28 17:15(2019/04/03 10:00),,마감
공사,20190347914-00,긴급,부평정수장 고도정수처리 산화시설 전기소방공사,인천광역시 상수도사업본부,인천광역시 상수도사업본부,지역제한,2019/03/28 17:02(2019/04/04 10:00),마감,마감
물품,20190347865-00,재입찰,의정부고산 S2-2BL 아파트 6공구 전기공사-화재수신기,조달청 서울지방조달청,한국토지주택공사 서울지역본부,제한(총액),2019/03/28 16:45(2019/04/12 11:00),,마감
공사,20190348131-00,일반,인흥초 체육관 신축 전기공사 소액수의견적제출 공고,강원도교육청 강원도고성교육지원청,강원도교육청 강원도고성교육지원청,수의(소액)-견적입찰(2인 이상 견적 제출),2019/03/28 16:37(2019/04/08 10:00),,마감
공사,20190347794-02,변경,순호보건진료소 이전신축 전기공사 수의견적 제출안내 공고,경상북도 의성군 보건소,경상북도 의성군 보건소,수의(소액),2019/03/28 16:25(2019/04/03 10:00),,마감
용역,20190348051-00,일반,인천작전초등학교 다목적강당 증축 전기(정보통신 및 소방포함)공사 설계용역,인천광역시교육청 인천광역시서부교육지원청,인천광역시교육청 인천광역시서부교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/03/28 16:17(2019/04/03 10:00),,마감
공사,20190348013-00,일반,도시계획도로(대로3-1호) 전기공사,충청남도 서산시,충청남도 서산시,지역제한,2019/03/28 16:04(2019/04/05 10:00),,마감
용역,20190347956-00,일반,조종초 다목적체육관 증축 전기, 소방, 통신공사 설계용역,경기도교육청 경기도가평교육지원청,경기도교육청 경기도가평교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/03/28 15:48(2019/04/03 10:00),마감,마감
용역,20190347941-00,일반,진흥로얄아파트 주택재건축 주택건설공사 감리자(전기) 모집 공고,경기도 안양시,경기도 안양시,일반경쟁,2019/03/28 15:40(2019/04/08 10:00),,마감
공사,20190347905-00,일반,신촌마을회관 신축공사(전기),전라남도 광양시,전라남도 광양시,수의(소액),2019/03/28 15:29(2019/04/04 15:00),,마감
물품,9215364-00,변경,(총액,제조,견적)재공고-양방향라디오 1점_본사 전기기술단,한국철도공사,한국철도공사,수의(총액),2019/03/28 15:28(2019/04/03 10:00),,한국철도공사 이동
공사,1900844-00,일반,성남고등 S-3BL 아파트 전기공사 2공구(공분,공임603호),한국토지주택공사,한국토지주택공사,제한경쟁,2019/03/28 15:20(2019/04/18 14:00),,한국토지주택공사 이동
공사,20190347852-00,일반,계북면 농기계 임대사업장 설치 전기공사,전라북도 장수군,전라북도 장수군,수의(소액),2019/03/28 15:18(2019/04/03 10:00),,마감
공사,20190347755-00,긴급,(가칭)이의6중 신축 전기공사,경기도교육청 경기도수원교육지원청,경기도교육청 경기도수원교육지원청,일반경쟁,2019/03/28 15:04(2019/04/03 10:00),마감,마감
물품,20190347793-00,일반,전기자동차 구매,대구광역시,대구광역시,제한(총액),2019/03/28 14:58(2019/04/05 10:00),,마감
용역,20190347769-00,일반,정배초 다목적 체육관 증축 전기공사 설계용역,경기도교육청 경기도양평교육지원청,경기도교육청 경기도양평교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/03/28 14:52(2019/04/03 15:00),,마감
용역,20190347752-00,일반,양평단월초 다목적 체육관 증축 전기공사 설계용역,경기도교육청 경기도양평교육지원청,경기도교육청 경기도양평교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/03/28 14:47(2019/04/03 15:00),,마감
공사,20190347741-00,일반,벽파지구 용수공급시설 설치사업(전기),전라남도 진도군,전라남도 진도군,수의(소액),2019/03/28 14:45(2019/04/03 14:00),,마감
물품,20190347708-00,일반,전기화학임피던스분석장치,한국생산기술연구원,한국생산기술연구원,제한(총액),2019/03/28 14:39(2019/04/08 12:00),,마감
공사,20190347714-00,일반,청도중학교 화장실 개선 전기공사,경상북도교육청 경상북도청도교육청 청도중학교,경상북도교육청 경상북도청도교육청 청도중학교,수의(소액)-견적입찰(2인 이상 견적 제출),2019/03/28 14:39(2019/04/05 14:00),,마감
물품,9215379-00,일반,(총액,제한적최저가)절연전선 및 피복선_동부본부 전기처,한국철도공사,한국철도공사,수의(총액),2019/03/28 14:28(2019/04/04 10:00),,한국철도공사 이동
물품,20190347614-00,일반,2019년 재료연구 실험장비 구매(실험실용 전기로),서울특별시 상수도사업본부 서울물연구원,서울특별시 상수도사업본부 서울물연구원,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/03/28 14:15(2019/04/05 10:00),,마감
물품,9215381-00,변경,재공고,총액)ITX청춘주변압기온도계전기 3점_동부,한국철도공사,한국철도공사,수의(총액),2019/03/28 13:52(2019/04/03 10:00),,한국철도공사 이동
물품,20190347476-00,일반,실험실용 전기로,경상남도 보건환경연구원,경상남도 보건환경연구원,수의(총액)소액수의,2019/03/28 13:44(2019/04/04 14:00),,마감
물품,9215393-00,일반,총액)KTX 동력실무선장치용 계전기 2점-수단,한국철도공사,한국철도공사,수의(총액),2019/03/28 13:31(2019/04/04 10:00),,한국철도공사 이동
용역,20190347417-00,일반,인천가좌초등학교 조리실 및 식당확충 전기(정보통신 및 소방포함)공사 설계용역,인천광역시교육청 인천광역시서부교육지원청,인천광역시교육청 인천광역시서부교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/03/28 13:30(2019/04/03 10:00),,마감
공사,20190347093-00,일반,전주 완산수영장 시설개선 전기공사,전라북도 전주시,전라북도 전주시,수의(소액),2019/03/28 13:29(2019/04/03 10:00),,마감
공사,20190347404-00,일반,수도시설 노후 전기설비 교체공사(용산배수지),강원도 춘천시 상하수도사업본부,강원도 춘천시 상하수도사업본부,수의(소액),2019/03/28 13:23(2019/04/05 10:00),,마감
용역,20190344827-02,변경,부산사하구 괴정동 1208 주택건설공사감리자(전기)모집공고,부산광역시,부산광역시,일반경쟁,2019/03/28 13:17(2019/04/05 12:00),,마감
공사,20190347329-00,일반,광주 임안수소충전소 건립공사(전기),재단법인 광주그린카진흥원,재단법인 광주그린카진흥원,지역제한,2019/03/28 12:49(2019/04/05 10:00),,마감
물품,9215369-00,변경,재공고)2년단가-KTX 철도형계전기 C형계전기 1점-수단,한국철도공사,한국철도공사,일반(단가),2019/03/28 12:14(2019/04/04 10:00),,한국철도공사 이동
공사,20190347296-00,일반,대신 하수관로(지선, 배수설비) 전기공사,경기도 여주시,경기도 여주시 하수사업소,수의(소액)-견적입찰(2인 이상 견적 제출),2019/03/28 12:12(2019/04/03 10:00),,마감
물품,20190347292-00,일반,전기제어과 방과후수업 실습재료(합판 외 8종) 구매 소액수의 견적제출 안내공고,대구광역시교육청 경북기계공업고등학교,대구광역시교육청 경북기계공업고등학교,수의(총액)소액수의,2019/03/28 12:07(2019/04/03 10:00),,마감
공사,20190345010-01,취소,광주 임암수소충전소 건립공사(전기),재단법인 광주그린카진흥원,재단법인 광주그린카진흥원,지역제한,2019/03/28 11:57(2019/04/05 10:00),,
공사,20190347274-00,일반,충남대학교병원 통합전산센터 신설을 위한 리모델링공사(전기),충남대학교병원,충남대학교병원,제한경쟁,2019/03/28 11:56(2019/04/05 14:00),,마감
공사,20190347185-00,일반,삼동초등학교 소규모체육관 신축 전기공사,경상남도교육청 경상남도남해교육지원청,경상남도교육청 경상남도남해교육지원청,수의(소액),2019/03/28 11:37(2019/04/03 10:00),,마감
공사,20190347196-00,일반,술산초 특별교실 및 식생활관 개축 전기공사,전라북도교육청 전라북도군산교육지원청,전라북도교육청 전라북도군산교육지원청,수의(소액)-견적입찰(2인 이상 견적 제출),2019/03/28 11:26(2019/04/03 10:00),,마감
공사,20190347147-00,일반,고덕면 궁2리 마을회관 건립(전기공사)(민간입찰대행),경기도 평택시,경기도 평택시,수의(소액),2019/03/28 11:15(2019/04/03 10:00),,마감
공사,20190347133-00,일반,고창 고수권역(한라수산) 친환경에너지 보급사업 전기공사(소액수의),한국농어촌공사 전북지역본부 고창지사,한국농어촌공사 전북지역본부 고창지사,수의(소액),2019/03/28 11:15(2019/04/05 10:00),,마감
공사,20190345238-01,변경,부산패션비즈센터 건립 전기공사,부산광역시,부산광역시 건설본부,일반경쟁,2019/03/28 11:14(2019/04/03 10:00),마감,마감
공사,20190343126-01,변경,스마트허브 노상주차장(옥구천로) 조성공사(전기),경기도 시흥시,경기도 시흥시,지역제한,2019/03/28 11:12(2019/04/03 10:00),마감,마감
공사,20190345567-00,일반,대전중앙초 다목적강당 증축 전기공사,대전광역시교육청 대전광역시동부교육지원청,대전광역시교육청 대전광역시동부교육지원청,지역제한,2019/03/28 10:59(2019/04/09 10:00),마감,마감
공사,20190345409-00,긴급,부산패션비즈센터 건립 소방(전기)공사,부산광역시,부산광역시 건설본부,지역제한,2019/03/28 10:49(2019/04/03 10:00),,마감
물품,A051900159-00,일반,제6호기 계획예방정비공사 전기설비 정비용 일반자재 구매,한국중부발전주식회사,사업소 보령발전본부,수의(총액),2019/03/28 10:47(2019/03/29 14:00),,한국중부발전주식회사 이동
공사,20190345405-00,일반,대전용전중 다목적강당 증축 전기공사,대전광역시교육청 대전광역시동부교육지원청,대전광역시교육청 대전광역시동부교육지원청,지역제한,2019/03/28 10:45(2019/04/09 10:00),마감,마감
공사,20190346918-01,변경,오학동 주민센터 건립 전기공사,경기도 여주시,경기도 여주시,제한경쟁,2019/03/28 10:45(2019/04/03 10:00),,마감
물품,2019032710001-00,취소,방폭형 디지털 무전기 등 구매,한국가스공사,한국가스공사,제한(총액),2019/03/28 10:41(2019/04/05 09:00),,한국가스공사 이동
용역,20190339314-00,일반,백운초 체육관 및 지하주차장 증축 전기,통신,소방(전기) 설계용역,경기도교육청 경기도군포의왕교육지원청,경기도교육청 경기도군포의왕교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/03/28 10:35(2019/04/02 10:40),마감,마감
공사,20190346967-00,일반,영동지구 수원공 수리시설개보수사업 전기공사,한국농어촌공사 전남지역본부 강진지사,한국농어촌공사 전남지역본부 강진지사,수의(소액),2019/03/28 10:28(2019/04/03 10:00),,마감
용역,20190346954-00,일반,강상초 다목적 체육관 증축 전기공사 설계용역,경기도교육청 경기도양평교육지원청,경기도교육청 경기도양평교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/03/28 10:23(2019/04/03 10:30),,마감
용역,20190346911-00,일반,양수초 다목적 체육관 증축 전기공사 설계용역,경기도교육청 경기도양평교육지원청,경기도교육청 경기도양평교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/03/28 10:13(2019/04/03 10:30),,마감
용역,20190346475-00,일반,배수펌프장 전기안전 및 운영 관리 위탁용역,경기도 이천시,경기도 이천시,제한경쟁,2019/03/28 10:01(2019/04/05 14:00),,마감
용역,20190344990-01,취소,조종초 다목적체육관 증축 전기, 소방, 통신 공사 설계용역,경기도교육청 경기도가평교육지원청,경기도교육청 경기도가평교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/03/28 09:55(2019/04/02 10:00),,
